job,marital,education,default,contact,poutcome,loan
blue-collar,divorced,primary,no,cellular,failure,no
management,married,tertiary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,unknown,no
blue-collar,single,secondary,yes,cellular,failure,no
admin.,married,secondary,yes,cellular,success,no
admin.,divorced,secondary,yes,cellular,unknown,yes
management,married,tertiary,yes,cellular,other,no
blue-collar,married,primary,yes,cellular,failure,yes
admin.,married,secondary,yes,cellular,unknown,no
blue-collar,married,secondary,yes,cellular,failure,no
management,married,tertiary,yes,cellular,failure,no
blue-collar,single,secondary,yes,cellular,unknown,no
admin.,married,primary,yes,cellular,unknown,yes
self-employed,divorced,tertiary,yes,cellular,success,no
admin.,divorced,secondary,yes,cellular,unknown,no
management,divorced,tertiary,yes,cellular,unknown,no
blue-collar,married,secondary,yes,cellular,unknown,no
blue-collar,divorced,secondary,yes,cellular,failure,no
blue-collar,married,secondary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,unknown,no
management,divorced,tertiary,yes,cellular,unknown,no
blue-collar,single,secondary,yes,cellular,success,no
admin.,single,secondary,yes,cellular,unknown,yes
retired,divorced,secondary,no,cellular,unknown,no
blue-collar,married,secondary,yes,cellular,unknown,no
services,divorced,secondary,yes,cellular,other,no
blue-collar,married,secondary,yes,cellular,unknown,no
admin.,single,secondary,yes,cellular,failure,no
management,single,tertiary,yes,cellular,unknown,no
admin.,married,secondary,yes,telephone,other,no
services,married,secondary,yes,cellular,unknown,no
retired,married,tertiary,yes,cellular,unknown,no
technician,single,secondary,yes,cellular,unknown,no
services,single,secondary,yes,cellular,unknown,no
services,single,secondary,yes,cellular,other,no
services,married,secondary,yes,cellular,failure,yes
retired,divorced,secondary,yes,cellular,unknown,no
services,single,secondary,yes,cellular,failure,no
services,single,secondary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,failure,no
blue-collar,married,primary,yes,cellular,other,no
blue-collar,single,secondary,yes,cellular,unknown,no
blue-collar,single,secondary,yes,cellular,unknown,yes
admin.,single,secondary,yes,cellular,other,no
admin.,divorced,secondary,no,cellular,failure,no
housemaid,married,tertiary,yes,cellular,failure,no
technician,married,tertiary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,unknown,no
management,single,secondary,yes,cellular,other,no
admin.,married,secondary,yes,cellular,failure,no
blue-collar,single,secondary,yes,cellular,unknown,no
technician,single,tertiary,yes,cellular,unknown,no
blue-collar,married,primary,yes,cellular,other,yes
blue-collar,married,secondary,yes,cellular,unknown,no
management,single,tertiary,no,cellular,unknown,no
student,single,tertiary,yes,cellular,unknown,no
services,married,secondary,yes,cellular,failure,no
entrepreneur,married,secondary,yes,cellular,failure,no
unemployed,married,secondary,yes,cellular,failure,no
technician,single,secondary,yes,cellular,unknown,yes
services,single,secondary,yes,cellular,unknown,no
services,single,secondary,yes,cellular,other,no
entrepreneur,married,tertiary,yes,cellular,unknown,no
retired,divorced,secondary,yes,cellular,unknown,no
student,single,secondary,yes,cellular,unknown,no
management,married,secondary,yes,cellular,unknown,yes
admin.,single,secondary,no,cellular,unknown,no
admin.,single,secondary,yes,cellular,failure,no
blue-collar,married,secondary,yes,cellular,failure,no
entrepreneur,single,secondary,yes,cellular,unknown,no
admin.,divorced,secondary,yes,cellular,unknown,no
admin.,married,secondary,yes,cellular,failure,no
management,single,tertiary,yes,cellular,unknown,no
admin.,divorced,secondary,yes,cellular,unknown,no
blue-collar,married,primary,yes,cellular,unknown,no
management,single,tertiary,yes,cellular,other,no
management,married,tertiary,yes,cellular,unknown,no
